State,SA4,At_least_one_dose_15,Fully_vaccinated_15,date
New South Wales,Capital Region,0.7,0.414,2021-09-06
New South Wales,Sydney - Inner West,0.76,0.445,2021-09-06
Queensland,Mackay - Isaac - Whitsunday,0.426,0.245,2021-09-06
New South Wales,Central Coast,0.72,0.407,2021-09-06
New South Wales,Central West,0.713,0.359,2021-09-06
New South Wales,Coffs Harbour - Grafton,0.637,0.334,2021-09-06
New South Wales,Far West and Orana,0.745,0.329,2021-09-06
New South Wales,Hunter Valley exc Newcastle,0.64,0.342,2021-09-06
New South Wales,Illawarra,0.672,0.413,2021-09-06
New South Wales,Mid North Coast,0.693,0.391,2021-09-06
New South Wales,Murray,0.668,0.381,2021-09-06
New South Wales,New England and North West,0.64,0.335,2021-09-06
New South Wales,Newcastle and Lake Macquarie,0.669,0.386,2021-09-06
New South Wales,Richmond - Tweed,0.611,0.348,2021-09-06
New South Wales,Riverina,0.659,0.401,2021-09-06
New South Wales,Southern Highlands and Shoalhaven,0.737,0.465,2021-09-06
New South Wales,Sydney - Baulkham Hills and Hawkesbury,0.862,0.517,2021-09-06
New South Wales,Sydney - Blacktown,0.861,0.418,2021-09-06
New South Wales,Sydney - City and Inner South,0.649,0.379,2021-09-06
New South Wales,Sydney - Eastern Suburbs,0.705,0.455,2021-09-06
New South Wales,Sydney - Inner South West,0.747,0.367,2021-09-06
New South Wales,Sydney - North Sydney and Hornsby,0.805,0.529,2021-09-06
Queensland,Moreton Bay - North,0.546,0.356,2021-09-06
Western Australia,Western Australia - Outback (South),0.441,0.269,2021-09-06
Queensland,Queensland - Outback,0.453,0.3,2021-09-06
Victoria,Melbourne - North East,0.566,0.356,2021-09-06
Victoria,Melbourne - North West,0.531,0.306,2021-09-06
Victoria,Melbourne - Outer East,0.622,0.389,2021-09-06
Victoria,Melbourne - South East,0.549,0.324,2021-09-06
Victoria,Melbourne - West,0.56,0.311,2021-09-06
Victoria,Mornington Peninsula,0.657,0.421,2021-09-06
Victoria,North West,0.652,0.402,2021-09-06
Victoria,Shepparton,0.67,0.394,2021-09-06
Victoria,Warrnambool and South West,0.717,0.459,2021-09-06
Western Australia,Bunbury,0.546,0.346,2021-09-06
Western Australia,Mandurah,0.541,0.345,2021-09-06
Western Australia,Perth - Inner,0.695,0.477,2021-09-06
Western Australia,Perth - North East,0.491,0.312,2021-09-06
Western Australia,Perth - North West,0.563,0.371,2021-09-06
Western Australia,Perth - South East,0.524,0.324,2021-09-06
Western Australia,Perth - South West,0.564,0.358,2021-09-06
Western Australia,Western Australia - Wheat Belt,0.531,0.332,2021-09-06
Western Australia,Western Australia - Outback (North),0.28,0.167,2021-09-06
Other Territories,Other Territories,0.656,0.487,2021-09-06
Victoria,Melbourne - Inner South,0.68,0.45,2021-09-06
Queensland,Moreton Bay - South,0.55,0.355,2021-09-06
Victoria,Melbourne - Inner East,0.657,0.436,2021-09-06
Victoria,Latrobe - Gippsland,0.648,0.423,2021-09-06
Queensland,Sunshine Coast,0.579,0.391,2021-09-06
Queensland,Toowoomba,0.538,0.355,2021-09-06
Queensland,Townsville,0.525,0.357,2021-09-06
Queensland,Wide Bay,0.551,0.348,2021-09-06
South Australia,Adelaide - Central and Hills,0.627,0.433,2021-09-06
South Australia,Adelaide - North,0.483,0.32,2021-09-06
South Australia,Adelaide - South,0.604,0.426,2021-09-06
South Australia,Adelaide - West,0.512,0.326,2021-09-06
South Australia,Barossa - Yorke - Mid North,0.58,0.381,2021-09-06
South Australia,South Australia - Outback,0.514,0.335,2021-09-06
South Australia,South Australia - South East,0.557,0.354,2021-09-06
Tasmania,Hobart,0.667,0.475,2021-09-06
Tasmania,Launceston and North East,0.64,0.474,2021-09-06
Tasmania,South East,0.595,0.421,2021-09-06
Tasmania,West and North West,0.545,0.407,2021-09-06
Victoria,Ballarat,0.659,0.444,2021-09-06
Victoria,Bendigo,0.697,0.472,2021-09-06
Victoria,Geelong,0.713,0.477,2021-09-06
Victoria,Hume,0.685,0.429,2021-09-06
Victoria,Melbourne - Inner,0.564,0.348,2021-09-06
Australian Capital Territory,Australian Capital Territory,0.691,0.462,2021-09-06
